mode,dataset,k_med,k_min,k_max
real,cifar10_car_v_truck,350.0,10,350
real,cifar10_cat_v_dog,350.0,10,350
real,fmnist_sandal_v_boot,300.0,200,350
real,fmnist_shirt_v_coat,200.0,50,250
real,fmnist_tshirt_v_shirt,350.0,250,350
real,mnist_0v8,225.0,200,350
real,mnist_1v7,350.0,200,350
real,mnist_2v7,250.0,120,350
real,mnist_3v5,225.0,150,350
real,mnist_4v9,200.0,150,350
real,mnist_6v8,225.0,150,350
real,svhn_1v7,350.0,10,350
real,svhn_3v8,300.0,50,350
synthetic,paper_syn_A_sin_bands_1k_each,90.0,90,90
synthetic,paper_syn_B_two_spirals_1k_each,35.0,10,90
synthetic,paper_syn_C_sine_surface_vs_plane_1k_each,9.5,6,50
synthetic,synthetic_A_moons_1k_each,7.0,4,20
synthetic,synthetic_B_circles_1k_each,50.0,10,90
synthetic,synthetic_C_blobs_1k_each,35.0,12,90
